City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,26.17,80,89,4.2,MU,1701786409
1,punta arenas,-53.15,-70.9167,8.06,39,40,10.29,CL,1701786549
2,puerto natales,-51.7236,-72.4875,10.25,46,20,8.75,CL,1701786549
3,port-aux-francais,-49.35,70.2167,4.12,77,97,7.28,TF,1701786549
4,choibalsan,48.0667,114.5,-12.94,63,97,8.67,MN,1701786549
5,yellowknife,62.456,-114.3525,-9.71,92,100,7.2,CA,1701786549
6,kapa'a,22.0752,-159.319,24.18,85,75,7.2,US,1701786550
7,haiku-pauwela,20.9219,-156.3051,22.25,91,0,6.69,US,1701786550
8,nieuw amsterdam,5.8833,-55.0833,28.97,81,40,3.09,SR,1701786550
9,bethel,41.3712,-73.414,4.55,64,0,2.24,US,1701786551
10,isafjordur,66.0755,-23.124,0.02,86,75,1.03,IS,1701786551
11,aasiaat,68.7098,-52.8699,-17.65,99,92,2.92,GL,1701786551
12,smithers,54.7804,-127.1743,3.18,87,75,3.6,CA,1701786551
13,waitangi,-43.9535,-176.5597,10.46,79,92,0.45,NZ,1701786552
14,praia da vitoria,38.7333,-27.0667,19.14,88,40,11.13,PT,1701786326
15,jalqani,12.4486,34.2186,36.1,17,26,3.52,SD,1701786552
16,kangding,30.0513,101.9603,5.51,82,99,1.5,CN,1701786552
17,grytviken,-54.2811,-36.5092,2.94,66,53,5.16,GS,1701786312
18,iskateley,67.6803,53.1512,-26.1,93,5,4.02,RU,1701786552
19,geraldton,-28.7667,114.6,21.23,78,100,8.23,AU,1701786552
20,arraial do cabo,-22.9661,-42.0278,29.98,74,75,3.09,BR,1701786553
21,lagoa,39.05,-27.9833,18.1,85,100,14.35,PT,1701786553
22,urangan,-25.3,152.9,23.55,79,13,3.27,AU,1701786553
23,rikaze,29.25,88.8833,1.08,31,1,1.06,CN,1701786553
24,adamstown,-25.066,-130.1015,22.4,80,100,5.51,PN,1701786553
25,margaret river,-33.95,115.0667,14.6,80,15,5.35,AU,1701786554
26,lihue,21.9789,-159.3672,23.77,83,75,7.2,US,1701786408
27,namie,37.4833,141.0,7.62,83,100,2.56,JP,1701786554
28,xalisco,21.4531,-104.8993,15.47,94,75,3.09,MX,1701786554
29,tolanaro,-25.0319,46.9987,27.04,74,20,9.77,MG,1701786554
30,longyearbyen,78.2186,15.6401,-4.09,63,75,6.69,SJ,1701786258
31,coquimbo,-29.9533,-71.3436,14.85,82,100,3.09,CL,1701786554
32,new norfolk,-42.7826,147.0587,14.95,69,24,4.39,AU,1701786555
33,port isabel,26.0734,-97.2086,20.01,91,20,3.09,US,1701786555
34,fort st. john,56.2499,-120.8529,-0.06,93,20,4.12,CA,1701786555
35,atafu village,-8.5421,-172.5159,28.74,75,100,4.74,TK,1701786555
36,gumdag,39.2061,54.5906,15.78,60,15,6.98,TM,1701786555
37,kill devil hills,36.0307,-75.676,12.77,68,0,4.63,US,1701786556
38,talnakh,69.4865,88.3972,-32.85,84,22,2.73,RU,1701786556
39,benghazi,32.1167,20.0667,18.62,53,83,4.84,LY,1701786413
40,sinop,41.7711,34.8709,8.24,89,99,2.92,TR,1701786556
41,nadym,65.5333,72.5167,-39.59,100,41,2.17,RU,1701786448
42,blackmans bay,-43.0167,147.3167,14.29,57,18,0.45,AU,1701786556
43,bilibino,68.0546,166.4372,-28.03,99,100,1.4,RU,1701786386
44,pangody,65.85,74.4859,-39.69,100,35,1.83,RU,1701786557
45,camacupa,-12.0167,17.4833,24.2,65,87,2.34,AO,1701786557
46,bathsheba,13.2167,-59.5167,29.34,79,40,9.26,BB,1701786557
47,badger,64.8,-147.5333,-18.44,75,40,1.54,US,1701786557
48,meerbusch,51.2833,6.6667,7.34,97,75,4.92,DE,1701786402
49,keflavik,64.0049,-22.5624,3.24,70,40,8.23,IS,1701786557
50,sinabang,2.4803,96.3801,27.25,77,95,1.08,ID,1701786557
51,port elizabeth,-33.918,25.5701,18.94,76,100,4.63,ZA,1701786390
52,mirnyy,62.5353,113.9611,-47.2,100,58,1.22,RU,1701786558
53,queenstown,-31.8976,26.8753,23.35,36,0,9.75,ZA,1701786558
54,ilulissat,69.2167,-51.1,-10.99,73,0,1.03,GL,1701786558
55,colonia,50.9333,6.95,7.2,88,100,3.6,DE,1701786489
56,qaqortoq,60.7167,-46.0333,-5.91,68,96,4.76,GL,1701786558
57,bredasdorp,-34.5322,20.0403,20.58,54,91,7.06,ZA,1701786558
58,lompoc,34.6391,-120.4579,11.99,73,0,5.66,US,1701786559
59,dudinka,69.4058,86.1778,-32.96,95,73,2.68,RU,1701786559
60,andergrove,-21.0833,149.1833,25.36,81,17,5.48,AU,1701786559
61,long,18.0761,99.8326,24.08,85,97,0.81,TH,1701786559
62,ishikawa,26.4233,127.8214,20.98,69,93,5.76,JP,1701786560
63,east london,-33.0153,27.9116,17.52,94,100,2.57,ZA,1701786560
64,altai,46.3722,96.2583,-10.78,49,21,3.62,MN,1701786490
65,villa gesell,-37.2639,-56.973,20.03,60,92,6.35,AR,1701786419
66,edinburgh of the seven seas,-37.0676,-12.3116,15.58,97,100,6.34,SH,1701786560
67,anadyr,64.75,177.4833,-21.72,77,0,6.0,RU,1701786561
68,invercargill,-46.4,168.35,7.12,90,65,1.05,NZ,1701786561
69,voru,57.8339,27.0194,-15.09,99,65,0.83,EE,1701786561
70,albany,42.6001,-73.9662,2.02,83,23,1.34,US,1701786443
71,hermanus,-34.4187,19.2345,20.87,59,14,9.66,ZA,1701786561
72,hamilton,39.1834,-84.5333,3.75,94,100,3.09,US,1701786286
73,arkhangel'sk,64.5401,40.5433,-25.94,76,20,0.0,RU,1701786562
74,sao felix do xingu,-6.6447,-51.995,31.46,52,66,0.75,BR,1701786562
75,olonkinbyen,70.9221,-8.7187,-1.91,73,76,5.07,SJ,1701786563
76,kabalo,-6.05,26.9167,23.8,87,100,2.55,CD,1701786563
77,saint-francois,46.4154,3.9054,7.69,68,75,6.17,FR,1701786563
78,alice springs,-23.7,133.8833,23.75,46,0,0.0,AU,1701786564
79,san patricio,28.017,-97.5169,15.47,80,100,2.67,US,1701786564
80,taro,-8.3862,115.28,23.0,93,82,0.5,ID,1701786564
81,bedele,8.456,36.353,19.09,73,100,0.79,ET,1701786564
82,al jawf,29.5,38.75,24.75,24,2,6.13,SA,1701786565
83,novyy urgal,51.0736,132.5642,-15.48,96,91,0.87,RU,1701786565
84,fort wellington,6.4,-57.6,28.11,74,40,4.0,GY,1701786565
85,enewetak,11.3474,162.3373,28.11,68,91,8.2,MH,1701786565
86,tazovsky,67.4667,78.7,-33.11,99,94,1.23,RU,1701786565
87,ghadamis,30.1337,9.5007,20.43,32,100,4.06,LY,1701786566
88,yurimaguas,-5.9,-76.0833,25.09,83,75,3.6,PE,1701786566
89,mount pearl,47.5166,-52.7813,1.19,87,75,3.09,CA,1701786566
90,armacao de buzios,-22.7469,-41.8817,30.09,79,87,2.98,BR,1701786566
91,tinogasta,-28.0632,-67.5649,22.41,44,0,2.73,AR,1701786566
92,taltal,-25.4,-70.4833,19.44,66,2,2.83,CL,1701786566
93,galliano,29.4422,-90.2992,15.0,72,0,2.06,US,1701786567
94,beneditinos,-5.45,-42.3667,37.55,32,53,1.62,BR,1701786567
95,kita,13.0349,-9.4895,36.28,10,0,1.96,ML,1701786567
96,college,64.8569,-147.8028,-18.39,79,75,1.54,US,1701786407
97,ushuaia,-54.8,-68.3,3.81,75,75,12.86,AR,1701786567
98,tocopilla,-22.092,-70.1979,20.84,69,78,3.94,CL,1701786567
99,tanjung pandan,-2.75,107.65,26.57,80,100,0.99,ID,1701786568
100,conception bay south,47.4999,-52.9981,1.52,88,100,4.28,CA,1701786568
101,hawaiian paradise park,19.5933,-154.9731,21.73,95,100,0.0,US,1701786390
102,juneau,58.3019,-134.4197,6.0,95,100,10.8,US,1701786568
103,hihya,30.6713,31.588,25.25,29,0,2.41,EG,1701786568
104,cascais,38.6979,-9.4215,11.39,87,20,5.81,PT,1701786316
105,monteagudo,-19.8167,-63.9833,17.93,93,100,1.25,BO,1701786569
106,bramming,55.4695,8.7001,1.2,82,75,6.69,DK,1701786569
107,nova sintra,14.8667,-24.7167,22.13,74,100,9.52,CV,1701786569
108,st. john's,47.5649,-52.7093,1.65,87,75,4.47,CA,1701786431
109,kodiak,57.79,-152.4072,0.73,93,100,8.23,US,1701786569
110,zapolyarnyy,69.4154,30.8136,-10.4,98,99,2.59,RU,1701786570
111,remire-montjoly,4.9167,-52.2667,29.02,84,75,2.57,GF,1701786570
112,manakara,-22.1333,48.0167,26.43,67,5,4.74,MG,1701786570
113,mount gambier,-37.8333,140.7667,10.75,96,39,1.61,AU,1701786570
114,tofol,5.3248,163.0078,28.14,78,39,8.28,FM,1701786570
115,hobyo,5.3505,48.5268,27.54,63,12,8.75,SO,1701786570
116,labytnangi,66.6572,66.4183,-33.98,98,24,1.74,RU,1701786570
117,uturoa,-16.7333,-151.4333,26.87,78,100,7.07,PF,1701786571
118,acapulco de juarez,16.8634,-99.8901,25.9,73,75,2.06,MX,1701786571
119,hirado,33.3597,129.5531,14.41,63,66,1.85,JP,1701786571
120,ust-nera,64.5667,143.2,-46.71,98,96,2.71,RU,1701786571
121,saipan,15.1355,145.701,27.39,78,20,6.17,MP,1701786572
122,puerto deseado,-47.7503,-65.8938,16.34,53,97,13.99,AR,1701786572
123,puerto madero,14.7208,-92.4215,26.11,100,0,0.0,MX,1701786572
124,whitehorse,60.7161,-135.0538,-2.57,86,75,7.2,CA,1701786572
125,chibougamau,49.9168,-74.3659,-23.21,84,20,2.57,CA,1701786572
126,monrovia,6.3005,-10.7969,32.87,68,16,3.2,LR,1701786572
127,fort bragg,35.139,-79.006,11.01,71,0,2.06,US,1701786572
128,kingston,17.997,-76.7936,29.58,73,20,1.34,JM,1701786376
129,vila velha,-20.3297,-40.2925,32.97,70,20,7.2,BR,1701786573
130,beau vallon,-20.4189,57.6953,26.23,73,75,3.6,MU,1701786573
131,ribeira grande,38.5167,-28.7,19.87,88,40,10.29,PT,1701786573
132,nova vicosa,-17.8919,-39.3719,30.13,59,9,5.63,BR,1701786573
133,kovalam,8.3667,76.9967,30.05,74,40,1.54,IN,1701786573
134,west island,-12.1568,96.8225,26.99,74,14,4.63,CC,1701786574
135,kupiskis,55.8333,24.9667,-8.47,98,88,1.49,LT,1701786574
136,arar,30.9753,41.0381,25.01,18,0,5.66,SA,1701786574
137,chachersk,52.9164,30.9179,-3.05,99,65,1.81,BY,1701786574
138,iqaluit,63.7506,-68.5145,-11.15,79,75,3.6,CA,1701786574
139,kheralu,23.8833,72.6167,21.77,50,0,2.69,IN,1701786574
140,auterive,43.351,1.478,10.76,65,50,6.6,FR,1701786574
141,tura,25.5198,90.2201,19.0,67,99,1.02,IN,1701786575
142,jayapura,-2.5333,140.7,25.66,90,94,0.85,ID,1701786575
143,hammerfest,70.6634,23.6821,-5.75,68,40,7.72,NO,1701786575
144,sao vicente,-23.9631,-46.3919,31.1,57,100,1.54,BR,1701786575
145,carnarvon,-24.8667,113.6333,24.23,75,27,11.75,AU,1701786575
146,rudnya,54.947,31.0934,-11.75,99,93,1.1,RU,1701786576
147,pacific grove,36.6177,-121.9166,15.28,66,0,3.09,US,1701786576
148,thompson,55.7435,-97.8558,-6.91,93,100,4.63,CA,1701786576
149,comodoro rivadavia,-45.8667,-67.5,26.92,22,0,7.72,AR,1701786576
150,souillac,-20.5167,57.5167,26.21,73,75,3.6,MU,1701786576
151,klaksvik,62.2266,-6.589,-0.49,66,26,3.6,FO,1701786576
152,lorengau,-2.0226,147.2712,27.16,81,34,2.4,PG,1701786576
153,joaima,-16.6542,-41.0306,34.41,40,18,2.59,BR,1701786576
154,tiksi,71.6872,128.8694,-18.93,97,100,4.09,RU,1701786487
155,kerikeri,-35.2268,173.9474,14.39,93,54,1.77,NZ,1701786577
156,gadzhiyevo,69.2551,33.3362,-9.21,84,100,4.82,RU,1701786577
157,port alfred,-33.5906,26.891,18.43,83,100,1.34,ZA,1701786577
158,la ronge,55.1001,-105.2842,-14.86,85,75,1.54,CA,1701786577
159,togur,58.3631,82.8265,-19.92,94,100,4.02,RU,1701786577
160,simanggang,1.2472,111.4528,25.99,94,98,0.0,MY,1701786577
161,flin flon,54.7682,-101.865,-9.09,92,100,2.57,CA,1701786578
162,arish,31.1316,33.7984,21.31,73,99,3.35,EG,1701786578
163,jamestown,42.097,-79.2353,1.97,97,100,1.54,US,1701786394
164,qamdo,31.1667,97.2333,-7.32,72,100,1.76,CN,1701786578
165,thinadhoo,0.5333,72.9333,28.07,77,18,4.41,MV,1701786578
166,lebu,-37.6167,-73.65,15.01,75,85,3.86,CL,1701786385
167,galesong,-5.3166,119.3661,26.01,79,100,2.78,ID,1701786578
168,richards bay,-28.783,32.0377,23.02,70,100,4.85,ZA,1701786579
169,basco,20.4487,121.9702,25.83,84,78,6.23,PH,1701786579
170,broome,42.2506,-75.833,2.16,81,100,2.06,US,1701786579
171,kongolo,-5.3833,27.0,22.0,95,100,1.05,CD,1701786579
172,cha-am,12.8,99.9667,26.44,82,52,1.51,TH,1701786579
173,siemiatycze,52.4272,22.8623,-5.61,91,49,4.44,PL,1701786579
174,vorgashor,67.5833,63.95,-30.17,97,28,1.54,RU,1701786419
175,astrakhan,46.3497,48.0408,-0.05,74,75,5.0,RU,1701786580
